,역사_ID,역사명,호선,위도,경도,주소
139,4117,노량진,9호선,37.513534,126.941005,"밍구네다방, 132,, 노량진로, 노량진동, 노량진1동, 동작구, 서울특별시, 06922, 대한민국"
140,4116,샛강,9호선,37.517274,126.928422,"샛강, 의사당대로, 여의동, 영등포구, 서울특별시, 07331, 대한민국"
141,4115,여의도,9호선,37.52176,126.92403,"의사당대로, 여의동, 영등포구, 서울특별시, 07328, 대한민국"
142,4114,국회의사당,9호선,37.528105,126.917874,"글래드연회주방, 16, 의사당대로, 여의동, 영등포구, 서울특별시, 07237, 대한민국"
143,4113,당산,9호선,37.533406,126.902809,"당산, 40, 양평로, 당산동5가, 당산2동, 영등포구, 서울특별시, 07214, 대한민국"
144,4112,선유도,9호선,37.53802,126.893525,"더 스테이트 선유 호텔, 132, 양평로, 양평동5가, 양평2동, 영등포구, 서울특별시, 07205, 대한민국"
145,4111,신목동,9호선,37.544277,126.88308,"안양천로, 목2동, 양천구, 서울특별시, 07969, 대한민국"
146,4110,염창,9호선,37.546936,126.874916,"어바니엘주상복합, 630, 공항대로, 목2동, 양천구, 서울특별시, 07556, 대한민국"
147,4109,등촌,9호선,37.550632,126.865689,"538, 공항대로, 목3동, 양천구, 서울특별시, 07946, 대한민국"
148,4108,증미,9호선,37.557402,126.861939,"증미, 양천로, 가양3동, 강서구, 서울특별시, 07565, 대한민국"
149,4107,가양,9호선,37.561391,126.854456,"488, 양천로, 가양동, 가양2동, 강서구, 서울특별시, 07574, 대한민국"
150,4106,양천향교,9호선,37.568381,126.841333,"양천로, 마곡지구도시개발지구, 가양1동, 강서구, 서울특별시, 07573, 대한민국"
151,4105,마곡나루,9호선,37.566778,126.82731,"마곡나루, 지하 2, 마곡중앙5로, 마곡지구도시개발지구, 가양1동, 강서구, 서울특별시, 07594, 대한민국"
152,4104,신방화,9호선,37.567532,126.816601,"방화1동, 강서구, 서울특별시, 07598, 대한민국"
153,4103,공항시장,9호선,37.563726,126.810678,"방화동로, 공항동, 강서구, 서울특별시, 07622, 대한민국"
154,4102,김포공항,9호선,37.561916,126.802152,"김포공항, 하늘길, 방화2동, 강서구, 서울특별시, 07612, 대한민국"
155,4101,개화,9호선,37.578608,126.798153,"개화, 19, 개화동로8길, 방화2동, 강서구, 서울특별시, 07602, 대한민국"
156,3763,석남(거북시장),7호선,37.5062285,126.6762813,"인천대로, 석남3동, 서구, 인천광역시, 22834, 대한민국"
157,3762,산곡,7호선,37.5086,126.7035277,"마장로, 산곡동, 청천2동, 부평구, 인천광역시, 21312, 대한민국"
158,3761,부평구청,7호선(인천),37.50848,126.72077,"부평구청역 1번 출구, 부평대로, 갈산동, 청천2동, 부평구, 인천광역시, 21333, 대한민국"
159,3760,굴포천,7호선(인천),37.50681,126.73234,"길주로, 부개동, 삼산동, 부평구, 인천광역시, 21351, 대한민국"
160,3759,삼산체육관,7호선(인천),37.50724,126.74179,"삼산체육관역 4번 출구, 수변로, 삼산동, 부평구, 인천광역시, 14505, 대한민국"
161,3758,상동,7호선(인천),37.505814,126.753163,"상동, 길주로, 원미구, 부천시, 경기도, 14543, 대한민국"
162,3757,부천시청,7호선(인천),37.50444,126.76364,"부천시청역 2번 출구, 길주로, 중동, 원미구, 부천시, 경기도, 14538, 대한민국"
163,3756,신중동,7호선(인천),37.50282,126.77566,"신중동역 3번 출구, 길주로, 중동, 원미구, 부천시, 경기도, 14548, 대한민국"
164,3755,춘의,7호선(인천),37.50365,126.78828,"길주로412번길, 준공업지역, 원미구, 부천시, 경기도, 14553, 대한민국"
165,3754,부천종합운동장,7호선(인천),37.50502,126.79661,"부천종합운동장역 인천교통공사 별관, 길주로, 춘의동, 원미구, 부천시, 경기도, 14488, 대한민국"
166,3753,까치울,7호선(인천),37.50613,126.81093,"까치울역 2번출구, 길주로, 부천시, 경기도, 14478, 대한민국"
167,3227,운연(서창),인천2호선,37.440127,126.75997,"운연, 매소홀로, 운연동, 장수서창동, 남동구, 인천광역시, 21604, 대한민국"
168,3226,인천대공원,인천2호선,37.448769,126.752618,"수인로, 장수동, 장수서창동, 남동구, 인천광역시, 21604, 대한민국"
169,3225,남동구청,인천2호선,37.448161,126.736939,"인주대로, 만수6동, 남동구, 인천광역시, 21591, 대한민국"
170,3224,만수,인천2호선,37.454911,126.732094,"구월로372번길, 만수동, 만수1동, 남동구, 인천광역시, 21540, 대한민국"
171,3223,모래내시장,인천2호선,37.45583,126.719298,"호구포로, 남촌동, 구월4동, 남동구, 인천광역시, 21623, 대한민국"
172,3222,석천사거리,인천2호선,37.456805,126.709986,"구월로, 인천광역시교육청, 구월2동, 남동구, 인천광역시, 21554, 대한민국"
173,3221,인천시청,인천2호선,37.456833,126.701306,"구월로, 인천광역시교육청, 간석1동, 남동구, 인천광역시, 21554, 대한민국"
174,3220,석바위시장,인천2호선,37.457611,126.692575,"구월로, 인천광역시교육청, 주안6동, 미추홀구, 인천광역시, 21554, 대한민국"
175,3219,시민공원(문화창작지대),인천2호선,37.458335,126.681192,"아인병원, 경인로, 주안4동, 미추홀구, 인천광역시, 22148, 대한민국"
176,3218,주안,인천2호선,37.464992,126.679098,"4, 주안로, 주안동, 주안1동, 미추홀구, 인천광역시, 22136, 대한민국"
177,3217,주안국가산단,인천2호선,37.473703,126.68113,"86, 길파로, 주안동, 주안5동, 미추홀구, 인천광역시, 22122, 대한민국"
178,3216,가재울,인천2호선,37.484192,126.683673,"가재울, 열우물로, 가좌4동, 서구, 인천광역시, 22821, 대한민국"
179,3215,인천가좌,인천2호선,37.4897,126.675208,"인천대로, 가좌동, 가좌1동, 서구, 인천광역시, 22834, 대한민국"
180,3214,서부여성회관,인천2호선,37.500168,126.675795,"인천대로, 가좌동, 석남2동, 서구, 인천광역시, 22834, 대한민국"
181,3213,석남(거북시장),인천2호선,37.506193,126.676203,"인천대로, 가좌동, 석남2동, 서구, 인천광역시, 22834, 대한민국"
182,3212,가정중앙시장,인천2호선,37.517054,126.676672,"가남로, 가정1동, 서구, 인천광역시, 22799, 대한민국"
183,3211,가정(루원시티),인천2호선,37.524649,126.675539,"봉오대로, 가정1동, 서구, 인천광역시, 22715, 대한민국"
184,3210,서구청,인천2호선,37.543742,126.676787,"녹십자약국, 293, 서곶로, 심곡동, 연희동, 서구, 인천광역시, 22713, 대한민국"
